review_id,review_text,sentiment
57,"Vynikajúca kúpa, vysoko nad očakávania.",1
58,"Hlukový a neefektívny, úplne sklamaný.",0
59,"Je skvelé, že tento produkt existuje, veľmi užitočný.",1
60,"Neodporúčam tento produkt, má mnoho problémov.",0
61,"Fantastická kvalita za túto cenu, vrelo odporúčam.",1
62,"Veľmi zlý zákaznícky servis, problémy s vrátením peňazí.",0
63,"Veľmi spokojný s funkcionalitou a dizajnom.",1
64,"Celková nekvalita, nefunguje ako by malo.",0
65,"Veľmi dobrý nákup, spĺňa všetky moje potreby.",1
66,"Zlomil sa po prvom použití, absolútne sklamanie.",0
67,"Dobre funguje, som spokojný s výkonom.",1
68,"Produkt je nefunkčný, strata peňazí.",0
69,"Skvelý produkt, ľahko prekonáva konkurenciu.",1
70,"Veľmi nekvalitné spracovanie, nekupujte!",0
71,"Veľmi efektívny a spoľahlivý produkt, doporučujem.",1
72,"Produkt nebol ako popísaný, veľmi nešťastný nákup.",0
73,"Perfektné riešenie pre môj problém, veľmi spokojný.",1
74,"Skúsenosť bola hrozná, produkt je pod očakávania.",0
75,"Som ohromený, ako dobre tento produkt funguje.",1
76,"Zlé materiály, vyzerá to, že to nebude dlho trvať.",0
77,"Presne čo som potreboval, veľmi praktické.",1
78,"Veľmi zlé spracovanie, hneď sa pokazilo.",0
79,"Skvelý produkt, veľmi som spokojný.",1
80,"Nespoľahlivý a zlý zákaznícky servis.",0
81,"Produkt vysokej kvality, funguje bez problémov.",1
82,"Nezodpovedá mojim potrebám, veľmi sklamaný.",0
83,"Vynikajúci výrobok, robí presne to, čo mal robiť.",1
84,"Produkt nie je hodný ceny, veľmi zlý.",0
85,"Vynikajúci produkt s vysokou spokojnosťou.",1
86,"Hrozný produkt, neodporúča sa.",0
87,"Spoľahlivý a efektívny, presne ako som potreboval.",1
88,"Celkovo sklamanie, nedosahuje štandardy.",0
89,"Tento produkt ma ohromil svojou kvalitou.",1
90,"Je to veľmi pomalé a neefektívne.",0
91,"Skvelé, že som to kúpil, veľmi mi pomohlo.",1
92,"Nepoužiteľné, musel som to vrátiť.",0
93,"Produkt je vynikajúci, veľmi užitočný.",1
94,"Nesplnil moje očakávania, je to menej ako priemerné.",0
95,"Tento produkt je presne to, čo som potreboval.",1
96,"Veľmi špatná skúsenosť, nič dobré na tom.",0
97,"Odporúčam, veľmi dobrá kúpa.",1
98,"Produkt mal vážne chyby, musel som ho vrátiť.",0
99,"Skvelý výrobok, presahuje moje očakávania.",1
100,"Neodporúčam, nie je hodný vašich peňazí.",0
101,"Dobrá kvalita, dobre sa používa, celkovo spokojný.",1
102,"Nespoľahlivé a nepraktické.",0
103,"Robí presne to, čo sľubuje, veľká spokojnosť.",1
104,"Je to hrozné, absolútne sklamanie.",0
105,"Perfektný výrobok, veľmi odporúčam.",1
106,"Nie je to, čo som očakával, zle strávené peniaze.",0
107,"Spoľahlivý a dobrý výkon, doporučujem.",1
108,"Veľmi zlá kvalita, zlyhanie na celej čiare.",0
109,"Skvelý dizajn a funkčnosť, veľmi spokojný.",1
110,"Nie je to hodné vašej pozornosti alebo peňazí.",0
111,"Tento produkt splnil všetky moje očakávania, vynikajúci.",1
112,"Veľmi zlé spracovanie, sklamanie.",0
113,"Úžasný produkt, veľmi odporúčam každému.",1
114,"Celková strata peňazí, veľmi neodporúčam.",0
115,"Skvelý nákup, veľmi spokojný s kvalitou.",1
116,"Produkt nebol funkčný pri príchode, veľké sklamanie.",0
117,"Dobrý produkt za dobrú cenu, spokojnosť.",1
118,"Produkt prišiel poškodený, zlá skúsenosť.",0
119,"Veľmi užitočný a efektívny produkt.",1
120,"Hlavné sklamanie, nič dobré o tomto produkte.",0
121,"Pomohol mi vo veľa ohľadoch, veľmi dobrá kvalita.",1
122,"Produkt je úplný odpad, nekupujte to.",0
123,"Doporučujem tento produkt, spokojnosť.",1
124,"Skúsenosť bola pod očakávaniami, zlé.",0
125,"Odporúčam, vynikajúca funkčnosť a cena.",1
126,"Veľmi zlá kvalita, neodporúča sa.",0
127,"Produkt presiahol moje očakávania, veľmi dobrý.",1
128,"Produkt je nepraktický a nespoľahlivý, veľmi zlý.",0
129,"Funguje presne ako sľúbené, veľmi som spokojný.",1
130,"Neodporúčam, zlá investícia.",0
131,"Vynikajúci produkt, výkon presahuje očakávania.",1
132,"Produkt je absolútne nevyhovujúci, vrátil som ho.",0
133,"Tento výrobok ma veľmi potešil, doporučujem.",1
134,"Nesplnil sľubované vlastnosti, veľké sklamanie.",0
135,"Skvelá kvalita a cena, veľmi som spokojný.",1
136,"Produkt bol poškodený a zákaznícka podpora je neochotná pomôcť.",0
137,"Veľmi efektívny, presne čo som potreboval.",1
138,"Toto bol úplný odpad peňazí, nefunguje ako mal.",0
139,"Produkt splnil všetky moje očakávania, určite kúpim znova.",1
140,"Produkt je nekvalitný a nezodpovedá popisu.",0
141,"Vynikajúci výrobok, spokojnosť na každý deň.",1
142,"Skúsenosť bola mizerná, neodporúčam.",0
143,"Tento produkt je perfektný pre moje potreby, odporúčam.",1
144,"Hodnotenie: veľmi zlé, produkt som vrátil.",0
145,"Skvelá funkčnosť a užitočnosť, odporúčam každému.",1
146,"Zlomil sa hneď po vybalení, zlé.",0
147,"Výborný výkon a spoľahlivosť, skvelá kúpa.",1
148,"Neuspokojivá kvalita, veľmi sklamaný.",0
149,"Príjemne prekvapený kvalitou tohto produktu.",1
150,"Celkový výkon je podpriemerný, neodporúča sa.",0
151,"Doporučujem tento produkt, splnil moje očakávania.",1
152,"Nefunkčný pri doručení, zákaznícka služba nepomohla.",0
153,"Vynikajúce spracovanie, vysoká spokojnosť.",1
154,"Produkt prišiel v zlom stave, veľmi frustrujúce.",0
155,"Odporúčam, vynikajúca cena a kvalita.",1
156,"Produkt je lacný a nedostatočný.",0
157,"Perfektné pre moje potreby, skvelý nákup.",1
158,"Nekvalitný a nespoľahlivý, zhoršuje skúsenosť.",0
159,"Veľmi dobrý produkt, spokojnosť.",1
160,"Produkt nepracuje správne, veľké sklamanie.",0
161,"Spoľahlivosť a kvalita, presne ako som očakával.",1
162,"Zákaznícka podpora je neexistujúca, nekupujte.",0
163,"Perfektný výrobok, hodnota za peniaze.",1
164,"Neodporúčam, produkt je horší, než sľubuje.",0
165,"Vynikajúci, doporučujem všetkým, kto potrebuje spoľahlivý produkt.",1
166,"Veľmi nízka kvalita, neodpovedá špecifikáciam.",0
167,"Excelentný produkt, presne čo som hľadal.",1
168,"Produkt je úplne zlý a bez užitku.",0
169,"Funguje perfektne, rýchlo a efektívne.",1
170,"Veľmi neodporúčam, zlá kvalita a servis.",0
171,"Perfektná funkcia, dobrá cena, vysoká spokojnosť.",1
172,"Nezodpovedá popisu, vrátil som produkt.",0
173,"Výrobok presahuje moje očakávania, veľmi spokojný.",1
174,"Hodnotenie 0 hviezdičiek, zlý nákup.",0
175,"Vynikajúca užitočnosť, odporúčam každému.",1
176,"Produkt prišiel poškodený, veľmi zlá skúsenosť.",0
177,"Tento produkt má výborné recenzie a ja súhlasím.",1
178,"Vrátil som ho, nefunguje ako malo.",0
179,"Úžasná hodnota, veľmi užitočný produkt.",1
180,"Produkt je úplný odpad, nespokojnosť.",0
181,"Splnil všetky moje potreby a očakávania.",1
182,"Produkt je nedostatočný a neodporúča sa.",0
183,"Dobrá kvalita, skvelé výsledky, vrelo odporúčam.",1
184,"Hrozný výrobok, zhoršuje skúsenosti.",0
185,"Spoľahlivý a odolný, veľmi odporúčam.",1
186,"Produkt mal chyby, neodporúčam kúpiť.",0
187,"Produkt je skvelý, prekonáva očakávania.",1
188,"Veľmi zlá kvalita, vrátil som to.",0
189,"Výborná spokojnosť, kvalitný a užitočný produkt.",1
190,"Nevhodný na použitie, veľmi zlá kúpa.",0
191,"Vynikajúce hodnotenie, produkt funguje bez problémov.",1
192,"Zlý produkt, zanechal som negatívnu recenziu.",0
193,"Produkt splnil všetky očakávania, skvelá kúpa.",1
194,"Produkt je absolútne zlyhanie, veľmi sklamaný.",0
195,"Excelentný výrobok, presne ako bolo popísané.",1
196,"Nesplnil žiadne očakávania, zlá kvalita.",0
197,"Veľmi dobrý produkt, funguje ako mal.",1
198,"Neodporúčam, početné problémy po krátkom použití.",0
199,"Výrobok je vysoko hodnotený a spokojnosť je zaručená.",1
200,"Produkt nebol podľa očakávaní, vrátil som ho.",0
201,"Výborná investícia, produkt je spoľahlivý.",1
202,"Nekvalitný a nespľňa popísané štandardy.",0
203,"Veľmi spokojný, produkt presahuje moje očakávania.",1
204,"Produkt je pod očakávaniami, sklamal ma.",0
205,"Robí to, čo má, bez problémov.",1
206,"Produkt je absolútne nevyhovujúci, nekupujte.",0
207,"Veľmi odporúčam, produkt je vynikajúci.",1
208,"Hodnotenie veľmi zlé, produkt som vrátil.",0
209,"Produkt je vynikajúci a doporučujem ho.",1
210,"Veľmi zlý výrobok, sklamanie na každom kroku.",0
211,"Spoľahlivosť a dobrá cena, veľmi spokojný.",1
212,"Vrátil som produkt, nespĺňa špecifikácie.",0
213,"Produkt je skvelý, presne to, čo som potreboval.",1
214,"Veľmi nízka úroveň, vrátil som ho bez váhania.",0
215,"Odporúčam, funguje úžasne a je spoľahlivý.",1
216,"Nepoužiteľný produkt, veľké sklamanie.",0
217,"Excelentný produkt, veľmi spokojný s kúpou.",1
218,"Zlá kúpa, produkt neodporúčam.",0
219,"Skvelá kvalita, veľmi užitočný výrobok.",1
220,"Nezodpovedá mojim očakávaniam, vrátil som produkt.",0
221,"Produkt je presne ako popísaný, veľmi dobrý.",1
222,"Produkt je menej ako priemerný, sklamal ma.",0
223,"Vynikajúci výkon, hodnota za peniaze.",1
224,"Nesplnené sľuby, zlý výrobok.",0
225,"Produkt prekonáva očakávania, veľmi odporúčam.",1
226,"Produkt nepracuje, ako mal, veľmi sklamaný.",0
227,"Robí presne to, čo sľubuje, vysoká spokojnosť.",1
228,"Produkt presahuje moje očakávania, vynikajúca kvalita.",1
229,"Vrátil som tento produkt, bol absolútne zlý.",0
230,"Výborný nákup, veľmi odporúčam tento produkt.",1
231,"Hrozná skúsenosť, produkt je úplne zbytočný.",0
232,"Veľmi spokojný, produkt presne zodpovedá môjmu očakávaniu.",1
233,"Veľké sklamanie, produkt mal množstvo problémov.",0
234,"Produkt je vysoko kvalitný a spoľahlivý.",1
235,"Tento produkt bol veľkým sklamaním, vrátil som ho.",0
236,"Excelentný výrobok, funguje bez problémov.",1
237,"Zlá kvalita a neefektívny, neodporúčam.",0
238,"Produkt je úžasný, veľmi užitočný a funkčný.",1
239,"Nie je hodný ceny, veľmi zlá kúpa.",0
240,"Tento produkt mi veľmi pomohol, vysoká kvalita.",1
241,"Veľmi zlý produkt, nedoporučujem nikomu.",0
242,"Doporučujem, produkt presne spĺňa moje potreby.",1
243,"Produkt nefunguje ako mal, som veľmi sklamaný.",0
244,"Produkt presahuje moje očakávania, vysoko odporúčam.",1
245,"Nedostatočná kvalita, vrátil som tento produkt.",0
246,"Produkt je výnimočný, veľmi dobre funguje.",1
247,"Nekvalitný a nedostatočný, nie je hodný kúpy.",0
248,"Skvelý produkt, spoľahlivý a efektívny.",1
249,"Produkt bol poruchový po prvom použití, zlý.",0
250,"Výborná kvalita, produkt je stojí za každý cent.",1
251,"Veľké sklamanie, produkt neodpovedá popisu.",0
252,"Spoľahlivý a robustný produkt, vrelo odporúčam.",1
253,"Produkt je úplná strata peňazí, nekupujte.",0
254,"Perfektný produkt, plne funkčný a užitočný.",1
255,"Nesplnil očakávania, vrátil som ho.",0
256,"Veľmi spokojný s kúpou, produkt funguje skvele.",1
257,"Produkt je menej účinný, ako som očakával.",0
258,"Tento produkt je skvelá kúpa, vysoko hodnotený.",1
259,"Neodporúčam, zlá kvalita a servis.",0
260,"Produkt je vysoko efektívny a spoľahlivý.",1
261,"Produkt sa pokazil po krátkom použití.",0
262,"Vynikajúci produkt, vrelo odporúčam.",1
263,"Produkt nebol ako sľubovaný, vrátil som ho.",0
264,"Excelentný výkon a kvalita, veľmi spokojný.",1
265,"Produkt bol poškodený a servis neexistuje.",0
266,"Skvelá kvalita a užitočnosť, doporučujem.",1
267,"Produkt je horší, ako som očakával, veľmi zlý.",0
268,"Robí presne to, čo má, vysoká odolnosť.",1
269,"Zlá kvalita, nesplnila moje očakávania.",0
270,"Veľmi dobrý produkt, odporúčam kúpiť.",1
271,"Produkt prišiel poškodený, záruka bez užitku.",0
272,"Produkt je spoľahlivý a veľmi užitočný, odporúčam.",1
273,"Skúsenosť bola sklamaním, produkt je nedostatočný.",0
274,"Doporučujem tento produkt, veľmi dobrá kvalita.",1
275,"Produkt je úplný nezmysel, nesplnil žiadne štandardy.",0
276,"Výborný produkt, presne čo som potreboval.",1
277,"Za túto cenu som očakával viac, produkt je slabý.",0
278,"Produkt je vysoko odporúčaný, skvelé funkcie.",1
279,"Nesplnené sľuby, vrátil som produkt.",0
280,"Spoľahlivý produkt, veľmi spokojný.",1
281,"Produkt nefunguje, ako bol inzerovaný.",0
282,"Skvelý výkon, dobrá cena, odporúčam.",1
283,"Základné funkcie nefungujú, veľmi neodporúčam.",0
284,"Produkt splnil všetky moje očakávania, odporúčam.",1
285,"Produkt je veľmi zlý, zhoršil moje očakávania.",0
286,"Veľmi dobrý nákup, produkt je spoľahlivý.",1
287,"Hrozný produkt, úplne nevyhovujúci.",0
288,"Perfektná kvalita, vysoko odporúčam tento produkt.",1
289,"Produkt bol neúčinný, veľmi sklamaný.",0
290,"Veľmi spokojný s funkčnosťou produktu.",1
291,"Produkt mal vady a chyby, nedoporučujem.",0
292,"Excelentná spoľahlivosť, veľmi dobrý produkt.",1
293,"Produkt sa pokazil hneď po začatí používania.",0
294,"Skvelá hodnota, produkt je veľmi efektívny.",1
295,"Tento produkt je veľké sklamanie, nedoporučujem.",0
296,"Výrobok je vynikajúci, doporučujem bez váhania.",1
297,"Produkt nesplnil žiadnu z očakávaných funkcií.",0
298,"Produkt je presne ako popísaný, veľmi spokojný.",1
299,"Veľmi zlá kvalita, vrátil som produkt.",0
300,"Produkt presahuje očakávania, skvelá kvalita.",1
301,"Produkt je neúspešný, veľmi zlá investícia.",0
302,"Vynikajúci produkt, veľmi odporúčam.",1
303,"Produkt je nespoľahlivý, vrátil som ho.",0
304,"Perfektný výkon, vysoká spokojnosť s kúpou.",1
305,"Produkt je veľmi zlý, nedoporučujem.",0
306,"Výborný nákup, produkt splnil všetky moje potreby.",1
307,"Produkt je veľmi zlý, má veľa chýb.",0
308,"Produkt je vynikajúci, vrelo odporúčam.",1
309,"Vrátil som produkt, bol úplne nespoľahlivý.",0
310,"Spoľahlivý a odolný, skvelá kúpa.",1
311,"Produkt nesplnil očakávania, je pod štandardom.",0
312,"Excelentná kvalita a funkčnosť, veľmi odporúčam.",1
313,"Produkt bol veľkým sklamaním, vrátil som ho.",0
314,"Produkt je spoľahlivý a hodnotný, doporučujem.",1
315,"Produkt je horší než som očakával, vrátil som ho.",0
316,"Skvelá funkčnosť, produkt odporúčam.",1
317,"Produkt bol neúčinný, vrátil som ho hneď.",0
318,"Produkt je vysoko kvalitný, veľmi som spokojný.",1
319,"Produkt neodpovedal môjmu očakávaniu, veľké sklamanie.",0
320,"Produkt je úžasný, funguje presne podľa popisu.",1
321,"Produkt je neúčinný, sklamal ma.",0
322,"Vynikajúci produkt, presahuje moje očakávania.",1
323,"Produkt nezodpovedá popisu, je veľmi zlý.",0
324,"Výborný produkt, doporučujem kúpiť.",1
325,"Produkt nesplnil moje očakávania, vrátil som ho.",0
326,"Doporučujem tento produkt, vysoká spoľahlivosť.",1
327,"Produkt bol veľmi zlý, vrátil som ho.",0
328,"Výnimočne kvalitný produkt, ktorý prevyšuje všetky moje očakávania a poskytuje výborné služby.",1
329,"Hrozné, prišlo to v nesprávnej farbe a nezodpovedá popisu na webe.",0
330,"Skvelé riešenie pre môj dom, produkt je tichý a efektívny.",1
331,"Absolútne nespoľahlivý, zlyhal hneď po prvom použití.",0
332,"Produkt je pôsobivý svojou kvalitou a spoľahlivosťou, odporúčam.",1
333,"Mizerne spracovaný, bol poškodený hneď ako som ho vybalil.",0
334,"Používanie tohto produktu je čistá radosť, vrelo odporúčam.",1
335,"Produkt je neuveriteľne zlý, strata peňazí a času.",0
336,"Funguje ako sľúbené, bez akýchkoľvek problémov.",1
337,"Produkt bol veľkým sklamaním, mal veľa chýb od začiatku.",0
338,"Výnimočná kvalita a cena, tento produkt je úžasný.",1
339,"Celková zlyhanie, nič nefunguje ako by malo.",0
340,"Produkt je jednoduchý na používanie a veľmi účinný.",1
341,"Poškodený produkt, ktorý dorazil bez možnosti vrátenia.",0
342,"Neuveriteľne dobrá hodnota, je to výrobok, ktorý každý potrebuje.",1
343,"Celkovo podpriemerný, neodporúčam kúpu tohto produktu.",0
344,"Bezproblémové používanie a skvelé výsledky, veľmi spokojný.",1
345,"Nekonzistentná kvalita a zlá zákaznícka podpora.",0
346,"Ideálne riešenie pre moje potreby, plne odporúčam.",1
347,"Produkt má závažné nedostatky a neodporúča sa jeho nákup.",0
348,"Tento produkt bol veľkým prekvapením v pozitívnom zmysle slova.",1
349,"Nevyhovujúca funkčnosť, bol som nútený vrátiť.",0
350,"Perfektná kombinácia ceny a kvality, plne odporúčam.",1
351,"Veľmi nespokojný s kúpou, produkt je neefektívny.",0
352,"Spĺňa všetky sľuby, vynikajúci produkt!",1
353,"Produkt bol absolútne neúspešný, neodporúčam ho.",0
354,"Výrobok je spoľahlivý, s dlhou životnosťou a veľmi dobrým výkonom.",1
355,"Výrobok mal mechanické chyby hneď po vybalení.",0
356,"Nad moje očakávania, skvelý nákup!",1
357,"Nefunguje správne a zákaznícka služba je neexistujúca.",0
358,"Produkt je vynikajúci, doporučujem.",1
359,"Nekvalitné spracovanie, musel som to vrátiť.",0
360,"Funguje bez akýchkoľvek problémov, veľmi odporúčam.",1
361,"Produkt je absolútne zbytočný, vyhodil som peniaze.",0
362,"Tento produkt prekonal moje očakávania v každom ohľade.",1
363,"Produkt je takmer nepoužiteľný, neodporúčam.",0
364,"Spoľahlivosť tohto produktu je neoceniteľná.",1
365,"Zlá kúpa, nevydržal ani mesiac.",0
366,"Výborný výrobok s dlhou životnosťou, odporúčam.",1
367,"Vrátil som produkt kvôli jeho zlým funkciám.",0
368,"Produkt je úžasne spoľahlivý, používam ho každý deň.",1
369,"Nespoľahlivý produkt, ktorý nesplnil žiadne očakávania.",0
370,"Výrobok má výbornú kvalitu a dlhú životnosť.",1
371,"Všetky funkcie zlyhali hneď po rozbalení.",0
372,"Robí to, čo má, a robí to dobre.",1
373,"Produkt je menej účinný, ako sľubuje reklama.",0
374,"Tento produkt je vynikajúci a veľmi odporúčam.",1
375,"Celková nespokojnosť, produkt je nespoľahlivý.",0
376,"Vynikajúci produkt, ktorý pravidelne používam.",1
377,"Produkt nefunguje, ako by mal, veľmi sklamaný.",0
378,"Tento produkt splnil všetky moje očakávania, odporúčam ho.",1
379,"Je to úplný odpad, nič nefunguje.",0
380,"Skvelá kúpa, produkt je presne to, čo som potreboval.",1
381,"Produkt je veľmi zlý, mám s ním len zlé skúsenosti.",0
382,"Odporúčam, veľmi dobrá kvalita a účinnosť.",1
383,"Vrátil som ho kvôli viacerým problémom s kvalitou.",0
384,"Produkt ma veľmi potešil svojou kvalitou.",1
385,"Produkt je nepoužiteľný a neodporúčam.",0
386,"Veľmi dobrý produkt, používam ho denne.",1
387,"Produkt dorazil poškodený a zákaznícka služba neodpovedá.",0
388,"Perfektná funkčnosť, presne ako bolo popísané.",1
389,"Je to absolútne sklamanie, všetko na ňom zlyháva.",0
390,"Produkt je spoľahlivý a veľmi efektívny, doporučujem.",1
391,"Skúsenosť s týmto produktom bola frustrujúca.",0
392,"Veľmi spokojný, produkt je robustný a spoľahlivý.",1
393,"Nepoužiteľný, vrátil som ho hneď.",0
394,"Vynikajúci, robustný a spoľahlivý, odporúčam.",1
395,"Produkt je veľké sklamanie, veľmi zlá kúpa.",0
396,"Produkt je výborný, splnil všetky moje požiadavky.",1
397,"Nie je to, čo som očakával, vrátil som to.",0
398,"Perfektný, funguje bez problémov, vrelo odporúčam.",1
399,"Produkt sa rýchlo pokazil, skúsenosť bola zlá.",0
400,"Veľmi spokojný, produkt funguje presne ako mal.",1
401,"Produkt nebol, čo som očakával, vrátil som ho.",0
402,"Skvelá kvalita a cena, produkt je spoľahlivý.",1
403,"Produkt je úplná katastrofa, absolútne sklamanie.",0
404,"Spoľahlivý, účinný a odolný, odporúčam.",1
405,"Produkt je veľmi zlý, vrátil som ho.",0
406,"Veľmi dobrý nákup, produkt je presne to, čo som chcel.",1
407,"Produkt je sklamaním, nefunguje správne.",0
408,"Dobrá cena za výbornú kvalitu, odporúčam.",1
409,"Celkové sklamanie, produkt nemá žiadnu hodnotu.",0
410,"Produkt je spoľahlivý, efektívny a odporúčam ho.",1
411,"Produkt je pod úrovňou očakávaní, vrátil som ho.",0
412,"Spoľahlivosť a efektívnosť tohto produktu sú na vysokej úrovni.",1
413,"Produkt bol hrozný, vrátil som ho.",0
414,"Skvelý produkt, dlhodobá spokojnosť.",1
415,"Produkt je veľmi zlý, neodporúčam ho nikomu.",0
416,"Odporúčam tento produkt pre jeho spoľahlivosť a funkčnosť.",1
417,"Produkt je hrozný, nekupujte ho.",0
418,"Výborný produkt, skvelé funkcie, skvelá cena.",1
419,"Produkt je úplne bezcenný, neodporúčam.",0
420,"Výrobok je robustný, spoľahlivý a vrelo odporúčam.",1
421,"Produkt bol zlý, vrátil som ho kvôli viacerým chybám.",0
422,"Vynikajúci výkon, dlhá životnosť, skvelá investícia.",1
423,"Produkt sa rýchlo pokazil, nemohol som ho používať.",0
424,"Produkt je efektívny, spoľahlivý a veľmi odporúčam.",1
425,"Veľmi zlá kvalita, produkt je zlý.",0
426,"Perfektný výkon, odolnosť a spoľahlivosť.",1
427,"Produkt nezodpovedá popisu, vrátil som ho.",0
428,"Spoľahlivý a užitočný produkt, ktorý doporučujem.",1
429,"Produkt bol hrozný, nesplnil žiadne očakávania.",0
430,"Produkt je odolný a dlhotrvajúci, skvelá kúpa.",1
431,"Hrozná kvalita, musel som to vrátiť.",0
432,"Skvelý produkt, spoľahlivý a užitočný, odporúčam.",1
433,"Produkt je neefektívny a má veľa chýb.",0
434,"Spoľahlivosť tohto produktu je veľká výhoda.",1
435,"Produkt je sklamaním, neodporúčam.",0
436,"Vynikajúci, robustný a efektívny produkt.",1
437,"Produkt sa rýchlo pokazil, veľmi zlá skúsenosť.",0
438,"Produkt je vysoko hodnotený pre jeho spoľahlivosť.",1
439,"Produkt je podpriemerný, vrátil som ho.",0
440,"Produkt presahuje moje očakávania, skvelá kúpa.",1
441,"Produkt je veľké sklamanie, neodporúčam.",0
442,"Spoľahlivosť a kvalita tohto produktu sú výborné.",1
443,"Veľmi zlý produkt, vrátil som ho hneď.",0
444,"Doporučujem tento produkt kvôli jeho vysokému výkonu a spoľahlivosti.",1
445,"Produkt je sklamaním, nesplnil moje očakávania.",0
446,"Produkt je účinný, odolný a odporúčam ho.",1
447,"Produkt bol absolútne zlý, musel som ho vrátiť.",0
448,"Vynikajúci produkt, ktorý som odporúčal svojim priateľom.",1
449,"Produkt mal mnoho technických problémov, neodporúčam.",0
450,"Vynikajúci produkt, splnil všetky moje očakávania.",1
451,"Produkt bol veľmi zlý, vrátil som ho.",0
452,"Produkt je skvelý, splnil všetko, čo sľúbil.",1
453,"Nekvalitný produkt, sklamal ma.",0
454,"Tento produkt je úžasný, veľmi užitočný a vysoko odporúčaný.",1
455,"Produkt bol neuspokojivý, vrátil som ho kvôli mnohým problémom.",0
456,"Odporúčam tento produkt pre jeho vysokú efektívnosť a kvalitu.",1
457,"Produkt je zlý a má veľa chýb.",0
458,"Produkt je spoľahlivý, efektívny a doporučujem ho všetkým.",1
459,"Produkt je veľmi zlý, sklamanie.",0
460,"Perfektný produkt, odolnosť a spoľahlivosť.",1
461,"Produkt neodpovedal mojim očakávaniam, bol to sklamanie.",0
462,"Skvelá kvalita, vynikajúca cena, produkt odporúčam.",1
463,"Produkt bol hrozný, musel som ho vrátiť.",0
464,"Spoľahlivosť tohto produktu ma ohromila, odporúčam.",1
465,"Produkt je zlý a nefunkčný, nekupujte.",0
466,"Vynikajúci produkt, vysoká kvalita a dobrá cena.",1
467,"Produkt bol veľmi zlý, vrátil som ho.",0
468,"Skvelý produkt, odporúčam pre jeho spoľahlivosť a užitočnosť.",1
469,"Produkt nezodpovedá popisu, bol som sklamaný.",0
470,"Produkt je spoľahlivý a veľmi odolný, odporúčam.",1
471,"Produkt je zlý, neodporúčam jeho kúpu.",0
472,"Odporúčam tento produkt, je veľmi spoľahlivý a efektívny.",1
473,"Produkt neodpovedal očakávaniam, vrátil som ho.",0
